national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
0,9.0,0,12,12,18,10,14,18,27,0,0,0,0.98,0.9,0,0,0,0,1,0,1
12,8.0,0,30,30,30,1,1,4,16,0,0,0,0.99,0.99,0,0,0,0,1,0,1
35,8.0,0,0,16,42,1,20,53,93,0,0,0,0.79,0.67,0,0,0,0,1,0,0
1,4.0,0,0,0,0,1,1,1,1,0,0,0,0.69,0.68,0,0,0,0,1,0,1
35,8.0,0,317,558,792,60,222,389,558,87,0,21,0.81,0.89,1,0,0,0,1,0,1
2,12.0,0,0,1,2,2,3,5,7,0,0,0,0.78,0.78,0,0,0,0,1,0,1
91,2.0,0,38,114,171,10,43,111,196,0,0,0,0.88,0.93,0,0,0,0,1,0,1
0,8.0,0,118,154,190,0,0,0,0,14,0,0,0.91,0.93,0,0,0,0,1,0,1
50,2.0,0,10,25,55,46,46,67,160,1,0,0,0.97,0.96,0,0,0,0,1,0,1
0,8.0,0,9,18,18,3,9,16,22,1,0,0,1.0,1.0,0,0,0,0,1,0,1
35,9.0,0,0,0,0,9,10,24,26,4,0,0,0.86,0.84,0,1,0,0,0,0,0
10,12.0,0,0,0,0,0,0,0,0,1,0,0,0.58,0.58,0,1,0,0,1,0,0
2,9.0,0,8,8,12,3,10,17,25,0,0,0,0.99,0.98,0,0,0,0,1,0,1
-18,2.0,0,210,315,455,51,157,298,403,7,0,0,0.44,0.44,19,0,0,1,1,0,1
6,2.0,0,0,0,0,0,0,0,3,0,0,0,0.98,0.97,0,0,0,0,1,0,0
0,2.0,0,1,1,1,2,2,3,3,0,0,0,0.91,0.86,0,1,0,0,1,0,1
107,2.0,340,90,360,600,143,495,901,1376,70,0,0,0.92,0.94,0,0,0,0,1,0,0
3,4.0,0,7,12,18,1,2,2,2,1,0,0,0.75,0.81,0,1,0,0,1,0,1
2,2.0,0,4,6,10,0,2,6,10,0,0,0,1.0,1.0,0,0,0,0,1,0,1
3,2.0,0,10,10,10,0,0,0,0,0,0,0,0.98,0.98,0,1,0,0,1,0,0
2,2.0,2,4,6,10,2,5,7,10,2,0,0,0.6,0.58,0,0,0,0,1,0,0
54,16.0,0,621,847,1333,140,522,849,1051,0,0,0,0.96,0.96,0,0,0,0,1,0,1
0,2.0,0,0,0,0,0,0,0,0,1,0,0,0.67,0.69,0,0,0,1,1,0,0
3,8.0,0,1,4,5,1,5,7,11,0,0,0,0.84,0.89,0,0,0,0,1,0,1
-1,16.0,0,6,7,9,0,2,4,4,1,0,0,0.44,0.46,1,0,0,0,1,0,1
5,12.0,0,26,26,38,7,19,33,45,25,0,0,0.98,0.64,0,0,0,0,1,0,0
0,9.0,0,5,6,6,0,0,0,0,0,0,1,0.7,0.66,0,0,0,0,1,0,1
8,8.0,0,64,96,160,12,35,69,94,5,0,0,0.94,0.9,0,0,0,0,1,0,0
298,8.0,0,1441,2127,3586,535,1910,3413,4413,324,0,0,0.7,0.71,0,0,0,0,1,0,1
4,12.0,0,0,0,0,0,0,3,3,0,0,0,0.63,0.72,0,0,0,1,1,0,0
0,8.0,0,1,1,2,0,1,1,2,1,0,0,0.41,0.46,0,0,0,0,1,0,1
1,8.0,0,5,9,12,1,4,5,8,0,0,0,0.15,0.34,0,0,0,0,1,0,1
3,12.0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.73,0,0,0,0,1,0,0
0,9.0,0,1,1,1,1,3,6,8,3,0,0,0.99,0.98,0,0,0,0,1,0,1
6,8.0,0,18,30,42,0,8,15,26,0,0,0,0.97,0.97,0,0,0,0,1,0,1
0,12.0,0,5,8,8,0,0,0,1,0,0,0,0.57,0.7,0,1,0,0,1,0,1
13849,8.0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.89,0,0,0,0,1,0,0
53,8.0,0,0,0,0,0,0,1,4,1,0,0,0.99,0.99,0,0,0,0,1,0,0
7,8.0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.81,0,0,0,0,1,0,0
4,8.0,0,2,6,9,1,2,7,12,0,0,0,1.0,0.95,0,0,0,0,1,0,1
56,2.0,0,0,0,4,3,15,44,69,0,0,0,0.92,0.86,0,0,0,0,1,0,0
37,8.0,0,200,280,340,29,89,170,281,39,0,40,1.0,0.88,0,0,0,0,1,0,1
9,14.0,0,0,0,0,0,0,0,2,1,0,0,0.99,0.99,0,0,0,0,1,0,0
2,8.0,0,20,20,20,0,0,0,0,0,0,0,0.51,0.53,0,1,0,0,1,0,0
5,8.0,0,8,8,13,1,7,13,21,2,0,0,0.55,0.81,0,0,0,0,1,0,1
0,2.0,0,3,5,6,1,2,4,5,0,0,2,0.78,0.82,0,0,0,0,1,0,1
6,10.0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.9,0,0,0,0,1,0,0
603,2.0,168,412,763,1043,115,311,655,961,114,0,20,0.69,0.75,0,0,0,0,1,0,0
73,17.0,0,0,0,0,10,18,32,59,2,0,0,1.0,1.0,0,0,0,0,1,0,0
13,2.0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.6,0,0,0,0,1,0,0
0,12.0,0,9,13,19,1,5,6,10,0,0,0,0.78,0.78,0,0,0,0,1,0,1
0,12.0,0,9,16,23,0,3,9,14,0,0,5,0.66,0.67,0,0,0,0,1,0,1
7,2.0,0,12,24,24,2,12,16,32,0,0,0,0.8,0.82,0,0,0,0,1,0,1
2,12.0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.79,0,0,0,0,1,0,0
62,8.0,2,20,20,60,13,29,76,103,23,0,0,0.84,0.89,0,0,0,0,1,0,0
-3,8.0,0,47,79,113,1,16,35,68,0,0,0,0.73,0.79,3,0,0,0,1,0,1
20,12.0,0,0,0,0,0,0,0,0,1,0,0,0.48,0.48,0,1,0,0,1,0,0
0,2.0,0,5,15,15,0,0,0,0,0,0,0,0.93,0.96,0,1,0,0,1,0,0
1,2.0,0,15,35,43,6,10,37,37,1,0,0,0.95,0.9,0,0,0,0,1,0,1
3,8.0,0,1,4,6,4,5,6,8,4,0,0,0.67,0.62,0,0,0,0,1,0,1
0,5.0,0,1894,3269,5049,0,0,0,0,187,0,111,0.69,0.69,0,0,0,0,1,0,1
0,2.0,0,9,9,9,1,1,1,1,0,0,0,0.99,0.98,0,1,0,0,1,0,1
7,9.0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.83,0,0,0,0,1,0,0
217,8.0,5,85,255,340,33,97,215,339,106,0,0,0.34,0.53,0,0,0,0,1,0,0
11,2.0,0,0,0,0,0,0,0,0,1,0,0,-99.0,-99.0,0,1,0,0,1,0,0
3,8.0,0,0,0,0,0,0,0,2,1,0,0,0.48,0.53,0,0,0,0,1,0,0
5,8.0,0,24,36,48,17,34,48,87,4,0,0,0.5,0.35,0,0,0,0,1,0,1
114,8.0,3,64,163,269,28,97,233,382,37,0,0,0.92,0.95,0,0,0,0,1,0,0
-29,8.0,0,88,133,151,13,29,123,181,20,0,0,0.08,0.58,29,0,0,0,1,0,1
2030,8.0,3590,0,0,1480,463,1392,2975,4820,650,0,0,0.89,0.79,0,0,0,0,1,0,0
5,2.0,0,25,40,70,7,29,29,29,0,0,0,1.0,1.0,0,0,0,0,1,0,1
0,8.0,0,2,2,2,0,0,0,0,0,0,0,0.42,0.41,0,0,0,0,1,0,1
17,12.0,0,0,0,0,0,3,29,37,26,0,0,0.98,0.95,0,1,0,0,1,0,0
-13,8.0,0,21,21,21,3,12,20,25,0,0,0,0.77,0.76,13,0,0,0,1,0,1
1,8.0,0,0,0,0,4,5,5,5,0,0,0,0.99,0.98,0,1,0,0,1,0,0
6,10.0,1,0,0,0,0,2,5,8,0,0,0,0.89,0.9,0,0,0,0,1,0,0
25,8.0,0,306,450,570,65,164,375,596,87,0,0,0.7,0.73,2,0,0,0,1,0,1
0,8.0,0,1,2,2,5,5,5,5,0,0,0,-99.0,0.93,0,0,0,0,1,0,1
0,8.0,0,6,6,8,0,0,0,0,0,0,0,0.78,0.82,0,0,0,0,1,0,1
0,5.0,0,12,12,12,0,0,0,0,0,0,0,0.68,0.69,0,1,0,1,1,0,1
147,2.0,69,120,240,360,40,118,241,347,54,0,0,0.98,0.98,0,0,0,0,1,0,0
2,9.0,0,8,12,20,2,6,9,13,0,0,0,0.99,0.98,0,0,0,1,1,0,1
70,12.0,4,50,126,190,16,66,133,229,26,0,0,0.78,0.78,0,0,0,0,1,0,0
0,0.0,0,58,128,210,1,1,1,1,27,0,0,0.0,0.0,0,1,0,0,1,0,1
105,8.0,0,0,0,0,7,22,38,69,47,0,0,0.97,0.95,0,0,0,0,1,0,0
152,2.0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.85,0,0,0,0,1,0,0
0,2.0,0,17,21,21,0,4,4,4,0,0,0,0.36,0.57,4,0,0,0,1,0,1
4,9.0,0,1,1,1,0,0,0,0,0,0,0,0.68,0.66,0,1,0,0,1,0,0
2,8.0,0,12,18,24,0,6,14,19,0,0,0,0.42,0.36,0,0,0,0,1,0,1
23,8.0,2,0,0,2,5,9,15,15,3,0,0,0.89,0.93,0,0,0,0,1,0,0
544,52.0,5,0,0,0,15,31,58,86,15,0,0,0.73,0.76,0,1,0,0,1,0,0
0,2.0,0,7,10,13,1,3,4,6,1,0,0,0.69,0.71,0,1,0,1,1,0,1
4,12.0,0,0,0,0,0,3,5,7,5,0,0,0.78,0.78,0,1,0,0,1,0,0
2,8.0,0,1,3,5,0,1,2,6,0,0,0,0.98,0.95,0,0,0,0,1,0,0
6,4.0,0,0,4,6,4,6,11,17,0,0,0,0.73,0.76,0,0,0,0,1,0,1
0,10.0,0,2,3,4,3,4,4,4,0,0,0,0.89,0.9,0,0,0,0,1,0,1
5,2.0,0,10,20,30,3,11,20,21,0,0,0,1.0,0.98,0,0,0,0,1,0,1
0,8.0,0,14,23,23,0,0,0,0,0,0,0,0.62,0.62,0,0,0,1,1,0,1
1,12.0,0,3,4,6,0,1,2,2,0,0,0,0.73,0.76,0,0,0,0,1,0,0
74,0.0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0
4,2.0,0,0,0,0,0,0,0,6,0,0,0,0.97,0.92,0,0,0,1,1,0,0
41,9.0,0,0,0,0,0,1,1,3,2,0,0,0.68,0.66,0,0,0,0,1,0,0
10,4.0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,1,0,0,1,0,0
211,12.0,0,100,247,394,39,125,269,402,122,0,0,1.0,1.0,0,0,0,0,1,0,0
151,12.0,0,34,49,89,16,94,184,298,10,0,0,0.93,0.74,0,0,0,0,1,0,0
247,8.0,0,242,441,640,67,189,344,610,62,0,0,0.99,0.99,0,0,0,0,1,0,0
0,8.0,0,0,0,0,0,0,0,0,0,0,0,0.78,0.78,0,1,0,0,1,0,0
132,8.0,0,0,0,0,0,4,10,12,2,0,0,0.8,0.88,0,1,0,1,1,0,0
4,8.0,1,15,30,45,3,14,24,33,0,0,0,1.0,0.99,0,0,0,0,1,0,1
156,3.0,0,0,0,0,1,4,12,15,0,0,0,0.76,0.79,0,0,0,0,1,0,0
3,4.0,4,2,2,2,0,0,0,0,0,0,0,0.77,0.8,0,1,0,0,1,0,0
-2036,8.0,36,15000,22640,31400,1594,9162,16199,21077,1929,0,0,0.9,0.95,2049,1,0,0,1,0,1
2,2.0,0,38,62,62,18,23,28,39,0,0,0,0.93,0.9,0,0,0,0,1,0,1
92,8.0,0,12,57,84,17,44,95,136,52,0,0,0.99,0.99,0,0,0,0,1,0,0
2,10.0,0,0,0,0,0,0,0,0,1,0,0,0.7,0.75,0,0,0,0,1,0,0
59,0.0,0,0,0,18,6,17,25,41,1,0,0,0.0,0.0,0,0,0,0,0,0,0
5,0.0,0,10,18,26,2,17,29,40,1,0,0,0.0,0.0,0,0,0,1,0,0,1
1,12.0,0,3,3,3,3,4,9,9,15,0,0,0.58,0.57,0,1,0,0,1,0,1
3,9.0,0,17,31,38,2,10,24,37,0,0,0,0.93,0.74,0,0,0,0,1,0,1
6,52.0,0,0,0,0,1,2,4,4,0,0,0,0.78,0.78,0,1,0,0,1,0,0
0,8.0,0,5,5,6,0,0,3,5,2,0,0,0.76,0.78,0,0,0,0,1,0,1
67,8.0,0,0,0,0,0,1,2,2,1,0,0,0.86,0.7,0,0,0,0,1,0,0
0,8.0,0,6,6,12,1,3,4,4,0,0,0,0.99,0.99,0,0,0,0,1,0,1
6,8.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.99,0,0,0,1,1,0,0
0,2.0,0,6,6,6,0,0,0,0,0,0,0,0.7,0.75,0,1,0,0,1,0,1
3,2.0,0,0,2,3,0,0,3,6,1,0,0,0.91,0.82,0,0,0,1,1,0,1
37,8.0,0,0,200,200,12,29,48,68,11,0,0,0.82,0.82,0,0,0,0,1,0,1
1,8.0,0,3,6,6,2,3,3,3,1,0,0,0.86,0.88,0,0,0,1,1,0,1
6,4.0,0,0,4,7,2,4,5,9,0,0,0,0.79,0.67,0,1,0,0,1,0,1
4,12.0,0,0,0,0,0,0,0,0,1,0,0,0.62,0.73,0,0,0,1,1,0,0
0,8.0,0,9,17,23,2,11,18,31,6,0,2,0.83,0.71,0,0,0,0,1,0,1
321,8.0,24,80,240,480,83,261,495,767,178,0,0,0.95,0.94,0,0,0,0,1,0,0
-2,8.0,0,68,92,116,7,50,85,132,21,0,0,0.0,0.14,2,0,0,0,1,0,1
0,2.0,0,0,0,0,1,1,1,1,0,0,0,0.89,0.9,0,0,0,0,1,0,1
4,2.0,0,1,4,7,2,3,7,11,0,0,0,0.99,0.97,0,0,0,0,1,0,1
0,2.0,0,34,34,52,0,0,0,0,0,0,16,0.9,0.92,0,1,0,0,1,0,1
10,2.0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.33,0,1,0,1,1,0,1
9,8.0,0,13,22,22,5,11,23,39,16,0,0,0.69,0.71,0,0,0,0,1,0,1
44,2.0,30,103,175,245,51,113,171,240,20,0,6,0.84,0.82,0,0,0,0,1,0,0
0,12.0,0,4,6,7,1,3,3,6,0,0,0,0.76,0.73,0,0,0,0,1,0,1
0,2.0,0,9,34,34,0,0,0,0,1,0,0,0.98,0.94,0,1,0,0,1,0,0
2,2.0,0,12,24,36,3,10,17,22,0,0,0,0.94,0.89,0,0,0,0,1,0,1
1,9.0,0,0,0,0,0,0,0,0,1,0,0,0.99,0.99,0,0,0,0,1,0,0
2,8.0,0,0,0,0,0,0,0,2,0,0,0,0.83,0.86,0,0,0,0,1,0,0
1,14.0,0,27,27,32,2,9,19,27,2,0,0,0.41,0.45,0,0,0,0,1,0,1
2,8.0,0,7,9,11,1,5,7,7,2,0,0,-99.0,-99.0,0,0,0,0,1,0,1
10,4.0,0,0,0,0,0,2,2,2,1,0,0,0.76,0.53,0,1,0,0,1,0,0
4,8.0,7,7,21,28,1,7,18,28,2,0,0,0.84,0.89,0,0,0,0,1,0,1
7,2.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.96,0,1,0,0,1,0,0
4,2.0,0,2,12,20,2,7,20,28,0,0,0,0.66,0.4,0,0,0,0,1,0,1
10,12.0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.72,0,0,0,1,1,0,0
3,2.0,0,0,0,0,0,0,0,0,1,0,0,0.99,0.98,0,1,0,0,1,0,0
0,8.0,0,115,195,195,0,0,0,0,20,0,0,0.99,0.98,0,1,0,0,1,0,1
0,9.0,0,5,5,5,0,0,0,0,0,0,0,0.68,0.66,0,1,0,0,1,0,0
10,2.0,1,6,15,24,0,3,12,21,0,0,0,0.84,0.88,0,0,0,1,1,0,0
3,8.0,2,105,175,210,11,40,100,148,40,0,0,0.82,0.82,2,0,0,0,1,0,1
9,8.0,0,74,103,132,8,31,64,108,21,0,0,0.94,0.96,0,0,0,1,1,0,1
124,8.0,0,0,0,0,4,16,32,47,1,0,0,0.74,0.74,0,0,0,0,0,0,1
88,8.0,0,0,0,0,6,12,33,42,7,0,0,0.96,0.97,0,0,0,0,1,0,0
8,2.0,2,2,6,8,1,5,7,12,3,0,0,0.99,0.91,0,0,0,0,1,0,1
26,2.0,0,0,0,0,0,4,8,8,1,0,0,0.99,0.99,0,0,0,1,1,0,1
1,14.0,0,8,8,8,0,0,4,8,0,0,2,0.89,0.9,0,0,0,0,1,0,1
1,8.0,0,1,1,2,0,1,1,1,1,0,0,0.96,0.97,0,0,0,0,1,0,0
17,2.0,0,0,0,0,3,5,5,5,1,0,0,0.98,0.98,0,1,0,1,1,0,1
25,2.0,0,0,0,0,1,1,1,1,0,0,0,0.99,0.83,0,1,0,0,1,0,0
76,52.0,0,0,0,0,0,0,3,3,0,0,0,0.99,0.94,0,1,0,0,1,0,0
110,2.0,0,0,0,8,7,41,80,91,10,0,0,0.81,0.75,0,1,0,0,1,0,0
0,2.0,0,14,21,28,9,19,24,36,1,0,0,0.98,0.96,0,0,0,0,1,0,1
17,4.0,0,167,287,527,55,66,67,67,38,0,0,0.74,0.71,0,1,0,0,1,0,1
5,8.0,0,0,1,3,1,1,5,7,0,0,0,0.94,0.93,0,0,0,0,1,0,0
57,8.0,1,896,1432,1976,111,362,556,714,159,0,0,0.09,0.09,0,1,0,1,1,0,1
2,9.0,0,0,0,0,0,0,0,0,1,0,0,0.68,0.66,0,0,0,0,1,0,0
3,2.0,0,0,1,2,0,0,3,6,1,0,0,0.91,0.86,0,0,0,1,1,0,1
1,8.0,0,2,4,5,0,2,3,4,0,0,0,0.12,0.38,0,0,0,0,1,0,1
7,12.0,0,0,0,0,1,1,1,1,0,0,0,0.57,0.7,0,0,0,0,1,0,0
10,8.0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.87,0,0,0,1,1,0,0
420,2.0,0,0,0,0,1,3,5,6,1,0,0,1.0,0.96,0,0,0,0,1,0,0
9,2.0,0,25,50,75,2,26,63,87,2,0,0,0.83,0.7,0,0,0,0,1,0,1
272,52.0,0,0,0,0,1,1,6,11,1,0,0,0.97,0.98,0,1,0,0,1,0,0
188,12.0,0,0,0,0,0,0,7,7,0,0,0,0.95,0.86,0,0,0,0,1,0,0
-9,2.0,5,340,510,680,60,167,312,443,74,0,34,0.0,0.39,11,0,0,0,1,0,1
6,12.0,0,0,1,1,0,0,2,2,0,0,0,0.82,0.79,0,1,0,0,1,0,0
4,2.0,0,0,1,1,0,0,0,0,1,0,0,0.73,0.86,0,1,0,0,1,0,1
5,8.0,0,36,54,90,3,19,37,64,3,0,18,0.17,0.34,0,0,0,0,1,0,1
11,4.0,0,0,0,0,0,0,3,4,0,0,0,0.73,0.78,0,0,0,0,1,0,0
2,12.0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.72,0,1,0,0,1,0,0
0,8.0,0,4,6,8,1,4,5,5,0,0,0,0.74,0.73,0,0,0,0,1,0,1
9,8.0,5,71,101,131,2,37,74,124,31,0,5,0.58,0.57,0,0,0,0,1,0,1
0,14.0,0,12,12,12,0,0,1,3,0,0,0,0.46,0.38,0,0,0,0,1,0,1
0,2.0,0,22,32,32,0,0,0,0,0,0,0,0.77,0.81,0,1,0,0,1,0,1
1,8.0,0,5,5,5,0,2,4,5,0,0,0,0.98,0.97,0,0,0,0,1,0,1
3,8.0,1,0,1,2,0,1,3,4,3,0,0,0.51,0.53,0,1,0,0,1,0,0
0,8.0,0,5,8,10,2,4,8,10,0,0,0,0.82,0.88,0,0,0,0,1,0,1
2,8.0,0,1,1,2,1,2,3,4,1,0,0,0.52,0.78,0,0,0,0,1,0,1
12,8.0,0,80,128,156,11,51,94,137,15,0,4,0.61,0.57,0,0,0,1,1,0,1
12,8.0,1,5,5,10,7,10,20,27,4,0,0,0.98,0.94,0,0,0,0,1,0,1
0,8.0,0,20,30,45,1,10,27,38,0,0,5,0.8,0.82,0,0,0,0,1,0,1
5,8.0,0,0,25,25,0,4,5,5,0,0,0,0.98,0.98,0,0,0,0,1,0,0
1,4.0,0,0,0,0,0,0,0,1,0,0,0,0.82,0.79,0,0,0,0,1,0,0
1,9.0,0,0,0,0,0,0,0,0,1,0,0,0.34,0.41,0,0,0,1,1,0,0
0,2.0,0,5,7,7,0,0,0,0,0,0,0,0.68,0.66,0,1,0,0,1,0,1
2,8.0,0,0,0,0,0,0,0,0,1,0,0,0.92,0.96,0,0,0,1,1,0,0
0,10.0,0,8,9,12,4,8,10,13,0,0,0,0.89,0.9,0,0,0,0,1,0,0
4,8.0,0,0,0,0,1,1,1,2,0,0,0,0.0,0.0,0,0,0,1,1,0,0
6,0.0,0,3,9,17,2,6,11,12,1,0,0,0.0,0.0,0,0,0,1,0,0,1
11,4.0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.8,0,0,0,0,1,0,0
0,8.0,0,8,8,12,1,3,6,6,0,0,0,0.76,0.77,0,0,0,0,1,0,1
-24,8.0,9,556,754,952,116,386,616,978,102,0,18,0.31,0.41,37,0,0,0,1,0,1
1,2.0,0,8,8,11,0,3,4,8,2,0,0,-99.0,0.0,0,0,0,0,1,0,1
80,8.0,55,45,145,245,21,69,178,271,53,0,45,0.51,0.45,0,0,0,0,1,0,0
37,2.0,0,0,0,0,3,6,7,9,1,0,0,0.94,0.97,0,1,0,0,1,0,0
43,8.0,3,37,61,99,20,54,105,158,14,0,0,0.97,0.98,0,0,0,1,1,0,0
4,9.0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0,1,0,0
0,12.0,0,29,47,68,2,7,12,12,0,0,0,0.73,0.76,0,1,0,0,1,0,1
