national_inv,lead_time,in_transit_qty,forecast_3_month,sales_3_month,went_on_backorder
6,8.0,0,32,19,1
0,2.0,0,7,0,1
0,2.0,0,4,0,0
-13,8.0,16,81,62,1
22,12.0,0,200,146,1
14,9.0,0,0,0,0
6,8.0,0,0,0,0
0,8.0,0,12,7,1
0,8.0,0,2,4,1
0,12.0,0,13,7,1
14,8.0,0,0,0,0
1,12.0,0,11,15,1
88,12.0,15,72,83,0
25,8.0,0,0,1,0
9,8.0,9,5,32,1
0,8.0,0,25,15,1
77,8.0,8,720,450,1
24,8.0,1,0,3,0
17,4.0,0,0,0,0
5,2.0,0,0,4,0
2,2.0,0,0,0,0
189,8.0,74,183,262,0
0,8.0,0,18,10,1
49,2.0,0,44,100,0
5,8.0,0,51,2,0
11,8.0,0,9,10,1
13,2.0,0,0,1,0
5,12.0,0,0,0,0
0,8.0,0,0,0,0
4,8.0,0,20,4,1
3,9.0,0,3,7,1
0,4.0,0,15,0,1
-4,8.0,0,96,42,1
43,9.0,0,0,4,0
66,8.0,0,0,0,0
2,8.0,0,20,3,1
0,2.0,0,545,9,1
0,8.0,0,5,5,1
0,8.0,0,435,0,1
1,2.0,0,12,4,1
2,9.0,0,0,0,0
15,4.0,0,0,3,0
3,8.0,0,0,0,0
2351,52.0,1,0,62,0
6,8.0,0,9,10,1
4,2.0,0,0,1,0
5,8.0,0,5,3,1
49,8.0,0,39,39,0
6,8.0,0,0,0,0
4,8.0,0,583,476,1
16,8.0,0,12,15,1
7,8.0,0,0,0,0
1,12.0,0,8,3,1
8,8.0,0,37,18,1
58,8.0,0,0,0,0
0,8.0,0,26,11,1
1,14.0,0,8,1,1
3,8.0,0,0,7,1
9,2.0,0,0,5,0
2,8.0,0,9,14,1
5,2.0,9,1,0,0
28,15.0,0,0,23,1
0,0.0,0,5,3,1
0,2.0,0,2,3,1
1,4.0,0,3,3,1
0,8.0,0,0,0,0
-82,16.0,0,1220,369,1
-4,12.0,0,8,14,1
-1,9.0,0,20,16,1
3,8.0,0,0,0,0
8,2.0,0,14,7,1
0,8.0,0,8,5,1
9,2.0,0,0,4,0
2,2.0,0,2,1,0
4,12.0,0,20,11,1
1872,2.0,797,0,1412,0
112,8.0,133,354,496,1
9,8.0,0,220,109,1
